Date,Region,Product,Sales Amount
2023-01-01,North,Product A,784
2023-01-02,West,Product A,659
2023-01-03,North,Product B,729
2023-01-04,North,Product D,292
2023-01-05,West,Product B,935
2023-01-06,East,Product B,863
2023-01-07,South,Product B,807
2023-01-08,East,Product B,459
2023-01-09,South,Product D,109
2023-01-10,East,Product B,823
2023-01-11,North,Product C,377
2023-01-12,East,Product A,854
2023-01-13,North,Product C,904
2023-01-14,South,Product A,699
2023-01-15,South,Product D,170
2023-01-16,South,Product D,572
2023-01-17,North,Product B,700
2023-01-18,West,Product D,496
2023-01-19,North,Product A,414
2023-01-20,West,Product D,805
2023-01-21,North,Product C,586
2023-01-22,North,Product A,651
2023-01-23,North,Product D,187
2023-01-24,North,Product D,274
2023-01-25,South,Product D,700
2023-01-26,West,Product A,949
2023-01-27,West,Product B,777
2023-01-28,North,Product D,637
2023-01-29,West,Product D,945
2023-01-30,East,Product C,172
2023-01-31,East,Product B,877
2023-02-01,South,Product D,215
2023-02-02,South,Product D,855
2023-02-03,South,Product B,809
2023-02-04,East,Product B,947
2023-02-05,South,Product A,531
2023-02-06,South,Product A,548
2023-02-07,North,Product D,950
2023-02-08,South,Product C,199
2023-02-09,East,Product A,277
2023-02-10,South,Product A,855
2023-02-11,South,Product D,897
2023-02-12,North,Product C,759
2023-02-13,North,Product B,247
2023-02-14,South,Product C,523
2023-02-15,South,Product D,388
2023-02-16,East,Product C,365
2023-02-17,West,Product D,797
2023-02-18,West,Product D,739
2023-02-19,South,Product A,644
2023-02-20,West,Product D,643
2023-02-21,West,Product C,814
2023-02-22,West,Product C,344
2023-02-23,East,Product A,251
2023-02-24,East,Product D,775
2023-02-25,South,Product C,610
2023-02-26,East,Product B,559
2023-02-27,West,Product A,982
2023-02-28,East,Product D,283
2023-03-01,North,Product B,128
2023-03-02,West,Product C,902
2023-03-03,West,Product B,228
2023-03-04,South,Product B,228
2023-03-05,South,Product A,153
2023-03-06,South,Product B,650
2023-03-07,East,Product B,588
2023-03-08,South,Product D,856
2023-03-09,South,Product B,373
2023-03-10,South,Product D,435
2023-03-11,East,Product C,488
2023-03-12,North,Product A,717
2023-03-13,West,Product B,142
2023-03-14,South,Product B,542
2023-03-15,North,Product D,643
2023-03-16,West,Product D,988
2023-03-17,South,Product A,357
2023-03-18,South,Product B,421
2023-03-19,East,Product C,157
2023-03-20,North,Product A,391
2023-03-21,East,Product B,970
2023-03-22,West,Product C,219
2023-03-23,North,Product B,879
2023-03-24,East,Product C,530
2023-03-25,North,Product B,182
2023-03-26,East,Product D,191
2023-03-27,North,Product C,996
2023-03-28,North,Product D,498
2023-03-29,West,Product B,711
2023-03-30,West,Product C,665
2023-03-31,West,Product D,733
2023-04-01,North,Product C,184
2023-04-02,North,Product C,303
2023-04-03,West,Product C,424
2023-04-04,South,Product A,874
2023-04-05,West,Product D,147
2023-04-06,East,Product C,739
2023-04-07,West,Product C,231
2023-04-08,North,Product D,968
2023-04-09,West,Product C,280
2023-04-10,North,Product C,946
2023-04-11,West,Product A,243
2023-04-12,West,Product B,760
2023-04-13,South,Product A,327
2023-04-14,East,Product D,891
2023-04-15,South,Product C,819
2023-04-16,North,Product A,473
2023-04-17,North,Product A,953
2023-04-18,West,Product C,660
2023-04-19,North,Product D,405
2023-04-20,West,Product B,681
2023-04-21,North,Product D,269
2023-04-22,North,Product C,775
2023-04-23,South,Product C,548
2023-04-24,North,Product B,195
2023-04-25,East,Product B,297
2023-04-26,East,Product C,706
2023-04-27,East,Product D,356
2023-04-28,North,Product B,981
2023-04-29,North,Product C,790
2023-04-30,East,Product B,392
2023-05-01,North,Product D,916
2023-05-02,East,Product C,961
2023-05-03,West,Product D,487
2023-05-04,East,Product A,710
2023-05-05,West,Product B,654
2023-05-06,West,Product B,468
2023-05-07,North,Product C,301
2023-05-08,South,Product C,483
2023-05-09,South,Product A,612
2023-05-10,South,Product C,470
2023-05-11,North,Product B,655
2023-05-12,North,Product D,483
2023-05-13,West,Product C,123
2023-05-14,West,Product A,799
2023-05-15,South,Product D,230
2023-05-16,West,Product B,477
2023-05-17,North,Product C,198
2023-05-18,West,Product A,674
2023-05-19,North,Product C,834
2023-05-20,South,Product B,223
2023-05-21,East,Product C,694
2023-05-22,East,Product B,839
2023-05-23,North,Product A,248
2023-05-24,East,Product A,309
2023-05-25,South,Product B,662
2023-05-26,West,Product A,511
2023-05-27,West,Product C,882
2023-05-28,West,Product A,141
2023-05-29,South,Product D,158
2023-05-30,East,Product B,805
2023-05-31,South,Product C,136
2023-06-01,East,Product A,878
2023-06-02,West,Product C,186
2023-06-03,East,Product D,143
2023-06-04,South,Product A,972
2023-06-05,East,Product A,111
2023-06-06,West,Product B,870
2023-06-07,West,Product A,407
2023-06-08,North,Product B,180
2023-06-09,North,Product A,132
2023-06-10,East,Product C,282
2023-06-11,South,Product D,228
2023-06-12,West,Product D,906
2023-06-13,South,Product A,375
2023-06-14,East,Product C,274
2023-06-15,East,Product B,654
2023-06-16,South,Product D,471
2023-06-17,North,Product D,284
2023-06-18,East,Product A,544
2023-06-19,West,Product C,588
2023-06-20,North,Product A,689
2023-06-21,East,Product C,386
2023-06-22,North,Product A,380
2023-06-23,West,Product D,737
2023-06-24,East,Product C,870
2023-06-25,South,Product C,615
2023-06-26,East,Product A,194
2023-06-27,South,Product A,326
2023-06-28,North,Product C,975
2023-06-29,South,Product B,369
2023-06-30,South,Product D,980
2023-07-01,East,Product B,396
2023-07-02,East,Product B,428
2023-07-03,West,Product B,119
2023-07-04,North,Product A,707
2023-07-05,South,Product C,940
2023-07-06,North,Product B,510
2023-07-07,West,Product B,550
2023-07-08,North,Product D,348
2023-07-09,North,Product D,280
2023-07-10,East,Product B,423
2023-07-11,North,Product D,929
2023-07-12,West,Product B,882
2023-07-13,South,Product D,964
2023-07-14,North,Product C,360
2023-07-15,West,Product A,849
2023-07-16,East,Product C,239
2023-07-17,South,Product B,698
2023-07-18,West,Product B,561
2023-07-19,North,Product B,989
2023-07-20,South,Product B,721
2023-07-21,East,Product C,943
2023-07-22,North,Product A,796
2023-07-23,North,Product B,628
2023-07-24,North,Product C,252
2023-07-25,East,Product D,249
2023-07-26,South,Product B,210
2023-07-27,West,Product D,125
2023-07-28,North,Product B,564
2023-07-29,North,Product B,989
2023-07-30,North,Product C,986
2023-07-31,North,Product A,217
2023-08-01,South,Product C,545
2023-08-02,West,Product C,695
2023-08-03,East,Product D,773
2023-08-04,East,Product C,972
2023-08-05,South,Product C,328
2023-08-06,North,Product C,607
2023-08-07,South,Product A,863
2023-08-08,South,Product D,221
2023-08-09,South,Product B,426
2023-08-10,West,Product B,569
2023-08-11,West,Product D,387
2023-08-12,South,Product D,625
2023-08-13,South,Product C,939
2023-08-14,West,Product D,796
2023-08-15,South,Product C,252
2023-08-16,West,Product C,691
2023-08-17,West,Product B,141
2023-08-18,East,Product D,374
2023-08-19,East,Product B,652
2023-08-20,West,Product D,538
2023-08-21,South,Product B,307
2023-08-22,South,Product C,879
2023-08-23,South,Product C,266
2023-08-24,East,Product B,211
2023-08-25,North,Product C,449
2023-08-26,West,Product A,229
2023-08-27,North,Product B,835
2023-08-28,North,Product B,986
2023-08-29,South,Product D,912
2023-08-30,North,Product C,316
2023-08-31,South,Product A,481
2023-09-01,North,Product D,124
2023-09-02,West,Product B,167
2023-09-03,East,Product A,871
2023-09-04,East,Product A,334
2023-09-05,South,Product C,816
2023-09-06,North,Product B,391
2023-09-07,North,Product D,826
2023-09-08,North,Product A,801
2023-09-09,North,Product B,809
2023-09-10,North,Product C,827
2023-09-11,West,Product B,655
2023-09-12,East,Product C,132
2023-09-13,South,Product B,111
2023-09-14,North,Product D,716
2023-09-15,East,Product B,312
2023-09-16,West,Product D,238
2023-09-17,West,Product C,794
2023-09-18,West,Product A,521
2023-09-19,West,Product A,737
2023-09-20,North,Product D,768
2023-09-21,East,Product B,723
2023-09-22,South,Product B,588
2023-09-23,North,Product B,870
2023-09-24,West,Product A,639
2023-09-25,West,Product C,317
2023-09-26,West,Product C,763
2023-09-27,West,Product C,921
2023-09-28,North,Product A,407
2023-09-29,East,Product C,274
2023-09-30,South,Product D,248
2023-10-01,East,Product D,641
2023-10-02,East,Product A,679
2023-10-03,South,Product B,647
2023-10-04,West,Product C,907
2023-10-05,West,Product C,493
2023-10-06,North,Product D,173
2023-10-07,North,Product A,397
2023-10-08,East,Product B,999
2023-10-09,South,Product C,914
2023-10-10,South,Product A,830
2023-10-11,North,Product A,976
2023-10-12,West,Product C,871
2023-10-13,North,Product B,899
2023-10-14,East,Product C,877
2023-10-15,North,Product A,494
2023-10-16,West,Product D,639
2023-10-17,South,Product D,529
2023-10-18,East,Product A,299
2023-10-19,West,Product A,523
2023-10-20,East,Product B,161
2023-10-21,South,Product A,441
2023-10-22,North,Product B,965
2023-10-23,North,Product A,144
2023-10-24,South,Product B,902
2023-10-25,North,Product C,188
2023-10-26,North,Product D,133
2023-10-27,East,Product B,745
