Date,Region,Product Category,Sales,Profit,Customer Satisfaction
2024-01-01,South,Furniture,4463,1442,5
2024-01-01,North,Clothing,570,1658,2
2024-01-01,South,Electronics,1115,1255,1
2024-01-02,East,Furniture,3038,1673,2
2024-01-02,West,Furniture,1927,1897,4
2024-01-02,North,Electronics,3677,-432,1
2024-01-02,North,Sports,4949,-445,4
2024-01-03,South,Electronics,1317,928,1
2024-01-03,West,Groceries,488,691,3
2024-01-03,West,Groceries,1919,1731,3
2024-01-03,West,Furniture,897,-33,3
2024-01-04,West,Groceries,1181,-27,3
2024-01-04,West,Groceries,4848,138,3
2024-01-04,North,Groceries,1465,1336,2
2024-01-04,West,Groceries,504,1720,1
2024-01-05,South,Groceries,1924,-426,4
2024-01-05,West,Furniture,3819,1475,4
2024-01-06,South,Sports,1923,1328,1
2024-01-06,North,Groceries,1343,225,4
2024-01-07,East,Sports,3336,23,5
2024-01-07,West,Groceries,2879,1489,2
2024-01-08,South,Clothing,2314,780,5
2024-01-08,North,Sports,1453,1775,4
2024-01-08,East,Electronics,767,1972,1
2024-01-09,West,Furniture,323,-383,5
2024-01-09,North,Electronics,4819,1136,4
2024-01-09,East,Groceries,3430,1656,5
2024-01-09,West,Electronics,4412,1761,2
2024-01-11,West,Groceries,457,1581,3
2024-01-12,West,Furniture,3875,1824,4
2024-01-12,North,Sports,4642,1070,2
2024-01-13,East,Groceries,1560,223,1
2024-01-14,South,Groceries,3236,1370,1
2024-01-14,South,Clothing,1314,1146,2
2024-01-14,South,Clothing,610,644,3
2024-01-15,North,Groceries,4025,1521,2
2024-01-15,East,Furniture,3540,1910,2
2024-01-15,West,Electronics,4671,1873,4
2024-01-15,East,Furniture,1053,-408,2
2024-01-15,East,Clothing,4052,-252,5
2024-01-15,South,Electronics,3476,1692,3
2024-01-18,West,Sports,1484,-136,4
2024-01-18,North,Clothing,1956,1253,4
2024-01-21,East,Groceries,2486,1893,5
2024-01-21,North,Furniture,1267,1658,1
2024-01-21,North,Sports,1465,519,5
2024-01-22,South,Furniture,3082,1435,1
2024-01-22,South,Sports,817,853,2
2024-01-23,West,Clothing,4713,1168,1
2024-01-23,West,Furniture,3056,1897,2
2024-01-24,West,Clothing,4081,618,3
2024-01-24,West,Furniture,3384,1476,5
2024-01-24,South,Electronics,2602,-363,3
2024-01-26,West,Electronics,4398,796,2
2024-01-27,North,Sports,1948,842,1
2024-01-27,North,Sports,2084,1173,3
2024-01-27,East,Groceries,2293,145,1
2024-01-28,West,Sports,639,376,5
2024-01-28,South,Furniture,2181,1417,3
2024-01-28,South,Furniture,3519,-362,2
